seed,method,precision,recall,f1,boundary_precision,boundary_recall,boundary_f1,workflows,nodes,edges,avg_nodes,avg_edges,silhouette
11,B1_raw_no_seg,0.13509615384615387,0.03319597069597069,0.041459957476966694,1.0,0.16551724137931034,0.28402366863905326,8,167,138,20.875,17.25,0.04697455405794716
11,B2_semantic_no_seg,0.20154366094263793,0.0879120879120879,0.11287024379129641,1.0,0.16551724137931034,0.28402366863905326,8,217,214,27.125,26.75,0.06526359724915072
11,B3_semantic_heuristic_seg,0.45621019108280253,0.30952053505177624,0.36225451648025464,0.6470028544243578,0.9379310344827586,0.7657657657657657,8,18,11,2.25,1.375,0.4314009239539185
11,UpperBound_semantic_oracle_seg,1.0,1.0,1.0,1.0,1.0,1.0,8,34,26,4.25,3.25,0.4673253477435725
22,B1_raw_no_seg,0.19281376518218624,0.04128422113752122,0.0514828738512949,1.0,0.16574585635359115,0.2843601895734597,8,161,119,20.125,14.875,0.04783795841092723
22,B2_semantic_no_seg,0.14637445887445888,0.09638290534804753,0.1011770328153209,1.0,0.16574585635359115,0.2843601895734597,8,207,197,25.875,24.625,0.09935286407055142
22,B3_semantic_heuristic_seg,0.519921875,0.42367137196463167,0.4013253634062878,0.6519230769230769,0.93646408839779,0.7687074829931972,8,18,11,2.25,1.375,0.44316544975734234
22,UpperBound_semantic_oracle_seg,1.0,1.0,1.0,1.0,1.0,1.0,8,34,26,4.25,3.25,0.4596911417060147
